"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 22 19:00:31 IST 2024","Tue Oct 22 19:00:37 IST 2024","5283","tests","TestSuite","ShopTest","","","test_myOrdersPage",""
"passed","Tue Oct 22 18:59:23 IST 2024","Tue Oct 22 19:00:16 IST 2024","53492","tests","TestSuite","ShopTest","","","test_NavPagesinAccountPage",""
"passed","Tue Oct 22 18:58:46 IST 2024","Tue Oct 22 18:58:55 IST 2024","9872","tests","TestSuite","ShopTest","","","test_shopDashboard",""
"passed","Tue Oct 22 19:00:16 IST 2024","Tue Oct 22 19:00:22 IST 2024","5663","tests","TestSuite","ShopTest","","","test_SavPaymentsPage",""
"passed","Tue Oct 22 18:57:59 IST 2024","Tue Oct 22 18:58:20 IST 2024","21270","tests","TestSuite","ShopTest","","","test_input_valid_mobile_number",""
"failed","Tue Oct 22 19:00:22 IST 2024","Tue Oct 22 19:00:22 IST 2024","166","tests","TestSuite","ShopTest","","","test_savingsBanner",""
"passed","Tue Oct 22 18:59:07 IST 2024","Tue Oct 22 18:59:14 IST 2024","7318","tests","TestSuite","ShopTest","","","test_MenuUnder_ShopDashboard",""
"passed","Tue Oct 22 18:58:21 IST 2024","Tue Oct 22 18:58:31 IST 2024","9829","tests","TestSuite","ShopTest","","","test_input_otp",""
"passed","Tue Oct 22 19:00:42 IST 2024","Tue Oct 22 19:00:47 IST 2024","5234","tests","TestSuite","ShopTest","","","test_CouponsPage",""
"passed","Tue Oct 22 18:59:03 IST 2024","Tue Oct 22 18:59:07 IST 2024","3756","tests","TestSuite","ShopTest","","","test_ExplorePage",""
"passed","Tue Oct 22 18:58:55 IST 2024","Tue Oct 22 18:59:03 IST 2024","7759","tests","TestSuite","ShopTest","","","test_DealsPage",""
"passed","Tue Oct 22 18:57:58 IST 2024","Tue Oct 22 18:57:59 IST 2024","1176","tests","TestSuite","ShopTest","","","test_click_dialog_box",""
"passed","Tue Oct 22 19:00:37 IST 2024","Tue Oct 22 19:00:42 IST 2024","5696","tests","TestSuite","ShopTest","","","test_CCPage",""
"passed","Tue Oct 22 18:58:33 IST 2024","Tue Oct 22 18:58:46 IST 2024","12590","tests","TestSuite","ShopTest","","","test_nav_to_shop",""
"passed","Tue Oct 22 18:57:41 IST 2024","Tue Oct 22 18:57:58 IST 2024","16772","tests","TestSuite","ShopTest","","","test_click_number_input_field",""
"passed","Tue Oct 22 18:58:31 IST 2024","Tue Oct 22 18:58:33 IST 2024","1684","tests","TestSuite","ShopTest","","","test_click_login_w_otp_button",""
"passed","Tue Oct 22 18:58:20 IST 2024","Tue Oct 22 18:58:21 IST 2024","1152","tests","TestSuite","ShopTest","","","test_click_otp_button",""
"passed","Tue Oct 22 19:00:22 IST 2024","Tue Oct 22 19:00:31 IST 2024","8851","tests","TestSuite","ShopTest","","","test_FAQPage",""
"passed","Tue Oct 22 18:59:14 IST 2024","Tue Oct 22 18:59:23 IST 2024","8660","tests","TestSuite","ShopTest","","","test_AccountsPage",""
